Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Aspen, CO",38750 Highway 82,Aspen,CO,81611-2506,USA,8,72.0,"39.204837, -106.858507",2402,2018-07-03,39.204837,-106.858507,39.204837,-106.858507,2018,7
"Auckland, New Zealand",501 Karangahape Rd,Auckland,,1010,New Zealand,6,120.0,"-36.858594, 174.754172",62,2018-07-03,-36.858594,174.754172,-36.858594,174.754172,2018,7
"Portage - John T McCutcheon Travel Plaza, IN",Indiana Toll Rd,Portage,IN,46368,USA,8,250.0,"41.588366, -87.216556",187,2021-12-24,41.588366,-87.216556,41.588366,-87.216556,2021,12
"New London, CT",369 N Frontage Rd,New London,CT,6320,USA,8,250.0,"41.370726, -72.119398",38,2020-03-07,41.370726,-72.119398,41.370726,-72.119398,2020,3
"Chester Springs, PA",1800 Ticonderoga Blvd,Chester Springs,PA,19425,USA,12,250.0,"40.075235, -75.686034",162,2022-11-12,40.075235,-75.686034,40.075235,-75.686034,2022,11
"Vancouver - Burrard St, BC",200 Burrard St,Vancouver,BC,V6C 3M1,Canada,8,72.0,"49.287756, -123.115411",16,2018-07-23,49.287756,-123.115411,49.287756,-123.115411,2018,7
"Besan鏾n, France",1 bis rue Victor Consid閞ant,Chemaudin et Vaux,Bourgogne-Franche-Comt�,25770,France,8,150.0,"47.234539, 5.901153",265,2018-07-31,47.234539,5.901153,47.234539,5.901153,2018,7
"Swift Current, SK",1601 N Service Rd,Swift Current,SK,S9H 3X6,Canada,6,250.0,"50.306966, -107.779462",735,2019-12-20,50.306966,-107.779462,50.306966,-107.779462,2019,12
"Chengdu - Renhe New Town Shopping Center, China",No. 505 West section of Fucheng Avenue,Chengdu,Sichuan,,China,12,120.0,"30.589617, 104.05114",492,2018-08-29,30.589617,104.05114,30.589617,104.05114,2018,8
"Napa - Factory Stores Drive, CA",629 Factory Stores Dr,Napa,CA,94558,USA,20,150.0,"38.297635, -122.302617",15,2019-11-16,38.297635,-122.302617,38.297635,-122.302617,2019,11
"Zhengzhou - Tesla Center, China","Jingbei 6th Road, Huizu District, Guancheng",Zhengzhou,Henan,,China,4,120.0,"34.73373745, 113.7478252",98,2021-01-22,34.73373745,113.7478252,34.73373745,113.7478252,2021,1
"Longyan - Wanda Realm Hotel, China",No.1 Shuanglong Road,Longyan,Fujian,364000,China,6,120.0,"25.055713, 117.02429894",349,2018-08-14,25.055713,117.02429894,25.055713,117.02429894,2018,8
"Nanjing - Jiulong Lake Headquarter Park, China",19 Suyuan Avenue,Nanjing,Jiangsu,210000,China,8,120.0,"31.9134525, 118.81133155",8,2018-08-11,31.9134525,118.81133155,31.9134525,118.81133155,2018,8
"Ningbo - Shangri-la Hotel, China",88 Yuyuan,Ningbo,Zhejiang,315000,China,10,72.0,"29.866539, 121.561714",13,2018-08-02,29.866539,121.561714,29.866539,121.561714,2018,8
"Davidson, SK",100 N Service Rd,Davidson,SK,S0G 1A0,Canada,6,250.0,"51.273484, -105.994108",618,2019-12-20,51.273484,-105.994108,51.273484,-105.994108,2019,12
"Austin - S Congress Ave, TX",1603 S Congress Ave,Austin,TX,78704,USA,8,250.0,"30.247661, -97.750105",167,2021-11-23,30.247661,-97.750105,30.247661,-97.750105,2021,11
"Monroe Township, NJ",960 NJ-33,Monroe Township,NJ,8831,USA,8,250.0,"40.267115, -74.471887",36,2022-07-01,40.267115,-74.471887,40.267115,-74.471887,2022,7
"Xiantao - Zhongbai Plaza, China",8 Xiantao Avenue,Xiantao,Hubei,433000,China,6,120.0,"30.360243, 113.437477",28,2018-08-22,30.360243,113.437477,30.360243,113.437477,2018,8
"Wuzhou - Riverside International Hotel, China",#8 Au Qi Li Road,Wuzhou,Guangxi,,China,6,120.0,"23.4747219, 111.27909629",38,2018-08-09,23.4747219,111.27909629,23.4747219,111.27909629,2018,8
"Tianjin Financing Service Center, China","No.55, Chenglin Avenue, Hedong District",Tianjin,Tianjin,,China,10,120.0,"39.131271, 117.231758",6,2018-07-14,39.131271,117.231758,39.131271,117.231758,2018,7
"Shanghai - Ruihong Tiandi, China",188 Ruihong Road,Shanghai,Shanghai,200080,China,8,120.0,"31.26443097, 121.49888533",8,2018-08-28,31.26443097,121.49888533,31.26443097,121.49888533,2018,8
"Grums, Sweden","Ny鋘gsgatan 1, by Rasta",Grums,V鋜mland,66434,Sweden,16,150.0,"59.367618, 13.144922",73,2018-07-19,59.367618,13.144922,59.367618,13.144922,2018,7
"Narooma, NSW",185 Princes Hwy,Narooma,NSW,2456,Australia,4,150.0,"-36.223176, 150.128311",32,2018-07-23,-36.223176,150.128311,-36.223176,150.128311,2018,7
"Central Coast, NSW",Bryant Drive & Wyong Road,Tuggerah,NSW,2259,Australia,6,120.0,"-33.3101, 151.420682",7,2019-06-15,-33.3101,151.420682,-33.3101,151.420682,2019,6
"North Bethesda, MD",11860 Trade St,North Bethesda,MD,20852,USA,8,72.0,"39.050339, -77.11657",119,2020-01-28,39.050339,-77.11657,39.050339,-77.11657,2020,1
"Corte Madera, CA",1618 Redwood Hwy,Corte Madera,CA,94925,USA,10,72.0,"37.928278, -122.514823",3,2019-02-12,37.928278,-122.514823,37.928278,-122.514823,2019,2
"Altoona, IA",1430 1st Ave N,Altoona,IA,50009,USA,6,150.0,"41.663503, -93.465484",291,2019-02-17,41.663503,-93.465484,41.663503,-93.465484,2019,2
"Lynchburg, VA",14480 Wards Rd,Lynchburg,VA,24502,USA,8,250.0,"37.32486, -79.190523",283,2020-02-06,37.32486,-79.190523,37.32486,-79.190523,2020,2
"Portland, ME",295 Forest Ave,Portland,ME,4101,USA,12,150.0,"43.664423, -70.269631",4,2019-10-17,43.664423,-70.269631,43.664423,-70.269631,2019,10
"Big Sur, CA",48123 Highway 1,Big Sur,CA,93920,USA,8,72.0,"36.226876, -121.761506",324,2019-05-24,36.226876,-121.761506,36.226876,-121.761506,2019,5
"Dover, DE",2800 N Dupont Hwy,Dover,DE,19901,USA,8,120.0,"39.19477, -75.54729",13,2019-01-12,39.19477,-75.54729,39.19477,-75.54729,2019,1
"Cape May Court House, NJ",11 Court House South Dennis Rd,Cape May,NJ,8210,USA,12,150.0,"39.088417, -74.8215",3,2019-07-26,39.088417,-74.8215,39.088417,-74.8215,2019,7
"Surrey, BC",10355 152 St,Surrey,BC,V3R 7C1,Canada,20,72.0,"49.192318, -122.806073",95,2018-10-06,49.192318,-122.806073,49.192318,-122.806073,2018,10
"Karlovac, Croatia","Banija, Bb",47000 Karlovac,,47000,Croatia,8,125.0,"45.513107, 15.547314",108,2018-09-23,45.513107,15.547314,45.513107,15.547314,2018,9
"Lake Geneva, WI",7036 Grand Geneva Way,Lake Geneva,WI,53147,USA,6,150.0,"42.60901, -88.407819",272,2019-09-26,42.60901,-88.407819,42.60901,-88.407819,2019,9
"Brandon, MB",921 18th St N,Brandon,MB,R7A 7S1,Canada,6,250.0,"49.867985, -99.96043",358,2019-12-12,49.867985,-99.96043,49.867985,-99.96043,2019,12
"Dryden, ON",640 Government St,Dryden,ON,P8N 2P6,Canada,6,250.0,"49.785663, -92.81177",380,2019-12-20,49.785663,-92.81177,49.785663,-92.81177,2019,12
"Olathe, KS",18101 W 119th St,Olathe,KS,66061,USA,8,150.0,"38.912194, -94.795583",309,2019-06-11,38.912194,-94.795583,38.912194,-94.795583,2019,6
"Hangzhou - Hans Building National Energy Center, China",1786 Binsheng Road,Hangzhou,Zhejiang,310051,China,18,120.0,"30.2090883, 120.20525199",9,2018-09-20,30.2090883,120.20525199,30.2090883,120.20525199,2018,9
"Middletown, NY",601 E Main St,Middletown,NY,10941,USA,8,150.0,"41.442449, -74.376565",136,2019-09-28,41.442449,-74.376565,41.442449,-74.376565,2019,9
"Walker, MI",2988 Walker Ave NW,Walker,MI,49544,USA,4,150.0,"43.018501, -85.723629",228,2018-12-24,43.018501,-85.723629,43.018501,-85.723629,2018,12
"Ukiah - N State St, CA",1315 N State St,Ukiah,CA,95482,USA,12,250.0,"39.168351, -123.210046",191,2022-09-13,39.168351,-123.210046,39.168351,-123.210046,2022,9
"Arlington, VA",2800 Clarendon Blvd,Arlington,VA,22201,USA,18,72.0,"38.887481, -77.092956",77,2019-04-18,38.887481,-77.092956,38.887481,-77.092956,2019,4
"Fairfield - Northbound, CT",165 Round Hill Rd,Fairfield,CT,6824,USA,12,250.0,"41.146266, -73.257157",15,2019-12-23,41.146266,-73.257157,41.146266,-73.257157,2019,12
"Eurotunnel - Flexiplus Lounge, France",Boulevard de l'Europe,Coquelles,Hauts-de-France,62231,France,2,125.0,"50.929973, 1.813182",8,2019-07-10,50.929973,1.813182,50.929973,1.813182,2019,7
"Sault Ste. Marie, MI",1138 W. 3 Mile Rd,Sault Ste. Marie,MI,49783,USA,8,250.0,"46.463553, -84.386795",222,2021-08-26,46.463553,-84.386795,46.463553,-84.386795,2021,8
"Sturbridge, MA",196 Main St,Sturbridge,MA,1566,USA,12,250.0,"42.098547, -72.072596",216,2023-03-24,42.098547,-72.072596,42.098547,-72.072596,2023,3
"Tamworth, NSW",58 Phillip St,Tamworth,NSW,2340,Australia,4,120.0,"-31.101649, 150.917126",401,2018-12-21,-31.101649,150.917126,-31.101649,150.917126,2018,12
"Hudson, MA",2 Highland Common E,Hudson,MA,1749,USA,8,120.0,"42.395775, -71.594724",122,2019-01-29,42.395775,-71.594724,42.395775,-71.594724,2019,1
"Heyuan - Jianji Shopping Center, China","Jianji Shopping Center, Yuewang Avenue, Dongpu Street, Yuancheng District, Heyuan City, Guangdong",Heyuan,Guangdong,,China,3,250.0,"23.772006, 114.717546",4,2022-10-17,23.772006,114.717546,23.772006,114.717546,2022,10
"Ithaca, NY",744 S Meadow St,Ithaca,NY,14850,USA,8,150.0,"42.428639, -76.509111",117,2019-07-24,42.428639,-76.509111,42.428639,-76.509111,2019,7
"Antioch, CA",5769 Lone Tree Way,Antioch,CA,94531,USA,10,150.0,"37.963695, -121.737262",34,2019-03-20,37.963695,-121.737262,37.963695,-121.737262,2019,3
"Mt Airy, NC",2905 Rockford St,Mt Airy,NC,27030,USA,8,150.0,"36.458847, -80.636683",313,2019-06-22,36.458847,-80.636683,36.458847,-80.636683,2019,6
"Rancho Mirage, CA",71800 CA-111,Rancho Mirage,CA,92270,USA,24,72.0,"33.741311, -116.409258",70,2019-09-18,33.741311,-116.409258,33.741311,-116.409258,2019,9
"Hudsonville, MI",4075 32nd Ave,Hudsonville,MI,49426,USA,10,150.0,"42.843659, -85.862462",221,2019-08-16,42.843659,-85.862462,42.843659,-85.862462,2019,8
"Skowhegan, ME",496 Madison Ave,Skowhegan,ME,4976,USA,8,150.0,"44.780304, -69.727027",74,2020-01-01,44.780304,-69.727027,44.780304,-69.727027,2020,1
"Las Vegas - Grand Central Parkway, NV",875 S Grand Central Pkwy,Las Vegas,NV,89106,USA,8,250.0,"36.165908, -115.158343",622,2020-09-15,36.165908,-115.158343,36.165908,-115.158343,2020,9
"Acworth, GA",3500 Baker Rd,Acworth,GA,30101,USA,12,150.0,"34.075443, -84.652009",297,2019-08-19,34.075443,-84.652009,34.075443,-84.652009,2019,8
"Williamsport, PA",105 Maynard St,Williamsport,PA,17701,USA,8,250.0,"41.2328, -77.019865",160,2020-02-25,41.2328,-77.019865,41.2328,-77.019865,2020,2
"Framingham, MA",1 Worcester Rd,Framingham,MA,1701,USA,12,120.0,"42.303637, -71.394171",51,2018-06-29,42.303637,-71.394171,42.303637,-71.394171,2018,6
"Jingdezhen - Xi Shan Lake Gloria Resort, China",999 Chang Nan Ave,Jingdezhen,Jiangxi,333000,China,6,120.0,"29.29367078, 117.18017611",62,2019-04-18,29.29367078,117.18017611,29.29367078,117.18017611,2019,4
"Beijing - Daxing Guochao Junheng, China","Courtyard 1, Qingyuan West Road, Daxing District",Beijing,Beijing,,China,4,120.0,"39.74456941, 116.3210645",44,2021-01-22,39.74456941,116.3210645,39.74456941,116.3210645,2021,1
"Shenzhen - Bolton Building, China","Block B, Boton Building, Boton Technology Park, Xili Chaguang Road, Nanshan District",Shenzhen,Guangdong,,China,10,120.0,"22.56744118, 113.9397735",24,2021-01-22,22.56744118,113.9397735,22.56744118,113.9397735,2021,1
"Guangzhou - Liby Center, China","Area 4, Floor B3, Underground Parking Lot, Libai Center",Guangzhou,Guangdong,,China,6,120.0,"23.10185388, 113.2380746",1,2021-01-22,23.10185388,113.2380746,23.10185388,113.2380746,2021,1
"Chengdu - C&D Luzhouli, China","Area A, Floor B2, Luzhouli Underground Parking Lot, Wuhou District",Chengdu,Sichuan,,China,8,120.0,"30.55047396, 104.042887",480,2021-01-22,30.55047396,104.042887,30.55047396,104.042887,2021,1
"Mulhouse, France","Golden Tulip H魌el, Ile napoleon, Rue des C関ennes",Mulhouse,Grand Est,68390,France,8,150.0,"47.782016, 7.388299",242,2015-07-23,47.782016,7.388299,47.782016,7.388299,2015,7
"Staunton, VA",1250 Richmond Ave #302,Staunton,VA,24402,USA,8,120.0,"38.1334859, -79.0434692",441,2019-01-31,38.1334859,-79.0434692,38.1334859,-79.0434692,2019,1
"San Jose - Coleman Ave, CA",533 Coleman Ave,San Jose,CA,95110,USA,12,150.0,"37.339661, -121.905085",24,2018-09-01,37.339661,-121.905085,37.339661,-121.905085,2018,9
"Chico, CA",1951 E 20th St,Chico,CA,95928,USA,18,150.0,"39.726633, -121.802538",70,2019-06-19,39.726633,-121.802538,39.726633,-121.802538,2019,6
"Brinkum, Germany",Rudolf-Diesel-Strasse 7,Stuhr,Lower Saxony,28816,Germany,12,150.0,"53.0282208, 8.8087104",7,2019-07-24,53.0282208,8.8087104,53.0282208,8.8087104,2019,7
"Rauenberg, Germany",Hohenaspen 40/1,Rauenberg,Baden-W黵ttemberg,69231,Germany,12,150.0,"49.273806, 8.695444",134,2020-01-17,49.273806,8.695444,49.273806,8.695444,2020,1
"Palm Springs, CA",N Museum Dr at N Belardo Rd,Palm Springs,CA,92262,USA,24,250.0,"33.824931, -116.548824",143,2019-06-19,33.824931,-116.548824,33.824931,-116.548824,2019,6
"Hsinchu - Zhubei Harrods, Taiwan","No. 297, Section 2, Wenxing Road",Zhubei City,Hsinchu,,Taiwan,6,72.0,"24.807265, 121.036114",43,2020-01-27,24.807265,121.036114,24.807265,121.036114,2020,1
"Taipei - Shihlin, Taiwan","111, No. 465, Section 5, Zhongshan North Road, Shilin District",Taipei City,Taipei,,Taiwan,6,250.0,"25.092936, 121.527162",2,2021-12-31,25.092936,121.527162,25.092936,121.527162,2021,12
"Plattling, Germany",Dr.-Walter-Bruch-Stra遝 1,Plattling,Bavaria,94447,Germany,20,250.0,"48.788682, 12.897229",318,2023-01-10,48.788682,12.897229,48.788682,12.897229,2023,1
"Santa Fe, Mexico","200 Avenida Vasco de Quiroga, Zedec Santa F�, Alvaro Obreg髇",Ciudad de M閤ico,Mexico City,45620,Mexico,8,72.0,"19.376999, -99.253381",2477,2019-04-19,19.376999,-99.253381,19.376999,-99.253381,2019,4
"Yorktown Heights, NY",3303 Crompond Rd,Yorktown Heights,NY,10598,USA,12,120.0,"41.29053, -73.832532",94,2019-06-13,41.29053,-73.832532,41.29053,-73.832532,2019,6
"Albert Lea - Happy Trails Lane, MN",820 Happy Trails Ln,Albert Lea,MN,56007,USA,8,150.0,"43.657608, -93.318547",382,2019-08-15,43.657608,-93.318547,43.657608,-93.318547,2019,8
"Haymarket, VA",15315 Washington St,Haymarket,VA,20169,USA,8,120.0,"38.815129, -77.642614",112,2018-12-19,38.815129,-77.642614,38.815129,-77.642614,2018,12
"Chengdu - Huayang Meicheng Hilton Garden Inn, China","Hilton Garden Inn, No. 1166, South Section of Jiannan Avenue, Shuangliu District, Chengdu",Chengdu,Sichuan,,China,3,250.0,"30.529324, 104.048639",477,2022-10-17,30.529324,104.048639,30.529324,104.048639,2022,10
"Alameda, CA",523 South Shore Center,Alameda,CA,94501,USA,12,150.0,"37.756265, -122.249306",3,2018-12-15,37.756265,-122.249306,37.756265,-122.249306,2018,12
"Katy, TX",25675 Nelson Way,Katy,TX,77494,USA,12,150.0,"29.774658, -95.821859",42,2020-07-24,29.774658,-95.821859,29.774658,-95.821859,2020,7
"Marin City, CA",190 Donahue St,Sausalito,CA,94965,USA,16,72.0,"37.872835, -122.510499",3,2020-09-03,37.872835,-122.510499,37.872835,-122.510499,2020,9
"Heyuan - Ketianxia Tourist Resort, China",No.1 Ketianxia Ave,Heyuan,Guangdong,,China,8,120.0,"23.627675, 114.63175",58,2019-04-19,23.627675,114.63175,23.627675,114.63175,2019,4
"Altoona, PA",1915 Pleasant Valley Blvd,Altoona,PA,16602,USA,8,120.0,"40.499647, -78.391352",338,2018-12-31,40.499647,-78.391352,40.499647,-78.391352,2018,12
"Richmond, TX",20500 Southwest Fwy,Richmond,TX,77469,USA,8,150.0,"29.561504, -95.695242",23,2018-12-17,29.561504,-95.695242,29.561504,-95.695242,2018,12
"Waterbury, CT",160 Kukas Ln,Waterbury,CT,6705,USA,8,120.0,"41.53713, -73.005368",122,2018-12-19,41.53713,-73.005368,41.53713,-73.005368,2018,12
"Nanping - Jianou Jianfa Yuecheng, China","B2, Jianou Jianfa Yuecheng Shopping Center, No. 2 South Ring Road, Jianou City, Nanping City, Fujian",Nanping,Fujian,,China,6,250.0,"27.019499, 118.322052",204,2022-09-12,27.019499,118.322052,27.019499,118.322052,2022,9
"St. Joseph, MO",201 N Belt Hwy,St. Joseph,MO,64506,USA,8,150.0,"39.768966, -94.801118",305,2018-11-20,39.768966,-94.801118,39.768966,-94.801118,2018,11
"Guangzhou - Tianhui Plaza IGC, China",222 Xingmin Road,Guangzhou,Guangdong,,China,8,120.0,"23.11498452, 113.33212844",8,2018-12-29,23.11498452,113.33212844,23.11498452,113.33212844,2018,12
"Compostela, Mexico",Kil髆etro 38 + 690 lado derecho de la Carretera Federal 200,Compostela,Nayarit,63700,Mexico,4,150.0,"21.232561, -104.924919",863,2018-09-28,21.232561,-104.924919,21.232561,-104.924919,2018,9
"Seattle - Union St, WA",601 Union St,Seattle,WA,98101,USA,10,72.0,"47.609686, -122.332152",54,2019-07-09,47.609686,-122.332152,47.609686,-122.332152,2019,7
"Raleigh, NC",4191 The Circle At North Hills St,Raleigh,NC,27609,USA,24,250.0,"35.835623, -78.642569",110,2017-11-02,35.835623,-78.642569,35.835623,-78.642569,2017,11
"Kortrijk, Belgium",President Kennedylaan,Kortrijk,West Flanders,8500,Belgium,12,150.0,"50.805626, 3.274434",26,2017-07-08,50.805626,3.274434,50.805626,3.274434,2017,7
"Kisarazu, Japan",1 Chome-16 Kanedahigashi,Kisarazu,Chiba,,Japan,6,150.0,"35.435631, 139.924555",2,2018-09-29,35.435631,139.924555,35.435631,139.924555,2018,9
"Xiamen - Shangri-La Hotel, China","Shangri-La Hotel ground parking lot, No. 168 Taidong Road, Siming District, Xiamen",Xiamen,Fujian,,China,3,250.0,"24.49148008, 118.1952848",2,2022-09-13,24.49148008,118.1952848,24.49148008,118.1952848,2022,9
"Borca di Cadore, Italy",Via Roma 15,Borca di Cadore,Veneto,32040,Italy,8,150.0,"46.435158, 12.222934",938,2019-08-10,46.435158,12.222934,46.435158,12.222934,2019,8
"Xiamen - Jianfa Yuexiang Center, China","Area B1, Jianfa Yuexiang Center, No. 8 Songyue Road, Siming District, Xiamen City, Fujian",Xiamen,Fujian,,China,3,250.0,"24.49415175, 118.112544",4,2022-09-13,24.49415175,118.112544,24.49415175,118.112544,2022,9
"Wuhan - Jingkai Hampton by Hilton Hotel, China","Hampton by Hilton, No. 411, Zhuanyang Avenue, Caidian District, Wuhan City, Hubei",Wuhan,Hubei,,China,3,250.0,"30.48833396, 114.1577009",35,2022-09-14,30.48833396,114.1577009,30.48833396,114.1577009,2022,9
"Shanghai - Universal Harbor, China",3300 Middle Zhongshan Road,Shanghai,Shanghai,200333,China,10,120.0,"31.23245587, 121.41254494",9,2018-12-21,31.23245587,121.41254494,31.23245587,121.41254494,2018,12
"Jecheon, South Korea","Namjecheon IC Service Area 741, Cheongpungho-ro, Geumseong-myeon",Jecheon-si,Chungcheongbuk,,South Korea,8,250.0,"37.072695, 128.191443",173,2021-12-31,37.072695,128.191443,37.072695,128.191443,2021,12
"'s-Hertogenbosch, Netherlands",Burgemeester Burgerslaan 50,Rosmalen,North Brabant,5245 NH,Netherlands,16,150.0,"51.720551, 5.333622",3,2019-03-30,51.720551,5.333622,51.720551,5.333622,2019,3
"Luzhou - Joy Hui, China","B2, Happy Hui, No. 1, Section 1, Kangcheng Road, Jiangyang District, Luzhou City, Sichuan",Luzhou,Sichuan,,China,6,250.0,"28.899553, 105.415345",292,2022-10-17,28.899553,105.415345,28.899553,105.415345,2022,10
"Kearny, NJ",200 Harrison Ave,Kearny,NJ,7032,USA,8,120.0,"40.749156, -74.136392",3,2019-02-16,40.749156,-74.136392,40.749156,-74.136392,2019,2
"Rockaway, NJ",395 Mt Hope Ave,Rockaway,NJ,7866,USA,12,120.0,"40.908225, -74.557405",214,2019-03-02,40.908225,-74.557405,40.908225,-74.557405,2019,3
"Madison, VA",2902 S Seminole Trail,Madison,VA,22727,USA,8,250.0,"38.34664, -78.286103",192,2020-02-07,38.34664,-78.286103,38.34664,-78.286103,2020,2
"Lynnfield, MA","MarketStreet Lynnfield, 600 Market St",Lynnfield,MA,1940,USA,12,150.0,"42.516609, -71.032521",33,2019-08-02,42.516609,-71.032521,42.516609,-71.032521,2019,8
"Queens - Queens Center, NY",90-15 Queens Blvd,Queens,NY,11373,USA,10,72.0,"40.735082, -73.87067",8,2018-10-03,40.735082,-73.87067,40.735082,-73.87067,2018,10
"Hangzhou - Shengao Technology Park, China","B1, No. 1666, Zhixing Road, Xiaoshan District, Hangzhou City, Zhejiang",Hangzhou,Zhejiang,,China,6,250.0,"30.216937, 120.332167",8,2022-10-17,30.216937,120.332167,30.216937,120.332167,2022,10
"Centennial, CO",9535 E County Line Rd,Englewood,CO,80112,USA,12,250.0,"39.567218, -104.877928",1776,2020-06-14,39.567218,-104.877928,39.567218,-104.877928,2020,6
"Flushing, NY",136-20 38th Ave,Flushing,NY,11354,USA,4,72.0,"40.760821, -73.829676",14,2020-01-28,40.760821,-73.829676,40.760821,-73.829676,2020,1
"Lowell, AR",898 W Monroe Ave,Lowell,AR,72745,USA,8,250.0,"36.255329, -94.152637",401,2020-02-21,36.255329,-94.152637,36.255329,-94.152637,2020,2
"Lafayette, LA",Stirling Center Dr,Lafayette,LA,70501,USA,8,250.0,"30.265264, -91.994232",3,2020-02-13,30.265264,-91.994232,30.265264,-91.994232,2020,2
"Roscoe, NY",1908 Old Rte 17,Roscoe,NY,12776,USA,8,150.0,"41.93056, -74.908742",393,2019-02-12,41.93056,-74.908742,41.93056,-74.908742,2019,2
"St. Joseph, MI",3260 Niles Rd,St. Joseph,MI,49085,USA,8,120.0,"42.056357, -86.456352",210,2013-11-26,42.056357,-86.456352,42.056357,-86.456352,2013,11
"Oneonta, NY",4968 NY-23,Oneonta,NY,13820,USA,8,250.0,"42.447575, -75.048622",334,2020-02-07,42.447575,-75.048622,42.447575,-75.048622,2020,2
"Plovdiv, Bulgaria",kv. Kamenitsa,Plovdiv,Plovdiv,4017,Bulgaria,4,150.0,"42.144521, 24.768837",161,2020-03-11,42.144521,24.768837,42.144521,24.768837,2020,3
"Canberra, ACT",Catalina Drive,Canberra,ACT,2609,Australia,6,150.0,"-35.294342, 149.190228",567,2018-10-12,-35.294342,149.190228,-35.294342,149.190228,2018,10
"Bay City, MI",2980 Wilder Rd,Bay City,MI,48706,USA,8,150.0,"43.622061, -83.932241",181,2016-09-27,43.622061,-83.932241,43.622061,-83.932241,2016,9
"Vero Beach, FL",9050 20th St,Vero Beach,FL,32966,USA,8,250.0,"27.6400894, -80.5135068",7,2020-03-15,27.6400894,-80.5135068,27.6400894,-80.5135068,2020,3
"Collinsville, IL",217 N Bluff Rd,Collinsville,IL,62234,USA,8,250.0,"38.67344, -90.013486",133,2021-06-18,38.67344,-90.013486,38.67344,-90.013486,2021,6
"Mount Pleasant, IA",1700 E Washington St,Mount Pleasant,IA,52641,USA,8,250.0,"40.961378, -91.528249",219,2021-06-10,40.961378,-91.528249,40.961378,-91.528249,2021,6
"Quinto, Switzerland",16 Via di Mezzo,Quinto,Ticino,6776,Switzerland,10,125.0,"46.515263, 8.67061",1010,2018-09-27,46.515263,8.67061,46.515263,8.67061,2018,9
"Hiroshima, Japan","1-ch?me-1 Sh?k? Center, Nishi-ku",Hiroshima,Hiroshima,733-0833,Japan,8,72.0,"34.372844, 132.404382",6,2020-02-15,34.372844,132.404382,34.372844,132.404382,2020,2
"Yangyang, South Korea","Seolhaewon Resort, 230, Gonghang-ro, Sonyang-myeon",Yangyang-gun,Gangwon,,South Korea,8,250.0,"38.054626, 128.660877",89,2021-12-31,38.054626,128.660877,38.054626,128.660877,2021,12
"Warrnambool, VIC",21-23 Gateway Rd,Warrnambool,Vic,3280,Australia,3,250.0,"-38.381231, 142.519295",27,2021-12-04,-38.381231,142.519295,-38.381231,142.519295,2021,12
"Newbridge (SC) - Edinburgh, UK",23 Cliftonhall Road,Edinburgh,Scotland,EH28 8PW,United Kingdom,16,250.0,"55.93391, -3.407749",49,2020-12-17,55.93391,-3.407749,55.93391,-3.407749,2020,12
"Haverslev, Denmark","Jyllandsgade, N鴕ager",Haverslev,Nordjylland,9610,Denmark,16,150.0,"56.783428, 9.69082",53,2018-05-31,56.783428,9.69082,56.783428,9.69082,2018,5
"貀er, Norway","By Circle K 貀er, Str鴐shuguvegen 1",貀er,Innlandet,2636,Norway,20,150.0,"61.243236, 10.434457",169,2018-12-19,61.243236,10.434457,61.243236,10.434457,2018,12
"Reston, VA",1904 Reston Station Blvd,Reston,VA,20190,USA,8,250.0,"38.949021, -77.339711",117,2020-06-26,38.949021,-77.339711,38.949021,-77.339711,2020,6
"Richmond, BC",6060 Minoru Blvd,Richmond,BC,V6Y 1Y2,Canada,20,150.0,"49.170013, -123.138776",2,2020-01-28,49.170013,-123.138776,49.170013,-123.138776,2020,1
"St. Louis Park, MN",3601 State Hwy 100 (MN-100),St. Louis Park,MN,55416,USA,8,250.0,"44.935964, -93.347857",269,2020-05-27,44.935964,-93.347857,44.935964,-93.347857,2020,5
"Jackman, ME",407 Main St,Jackman,ME,4945,USA,4,150.0,"45.624071, -70.25201",374,2019-10-19,45.624071,-70.25201,45.624071,-70.25201,2019,10
"Kenora, ON",1201 Highway 17 E,Kenora,ON,P9N 1L9,Canada,6,250.0,"49.759555, -94.473088",334,2019-12-20,49.759555,-94.473088,49.759555,-94.473088,2019,12
"Superior, CO",2 S Marshall Rd,Superior,CO,80027,USA,16,250.0,"39.9548017, -105.1646291",1669,2020-10-02,39.9548017,-105.1646291,39.9548017,-105.1646291,2020,10
"North Bend, WA",46600 SE North Bend Way,North Bend,WA,98045,USA,8,250.0,"47.468107, -121.716454",209,2019-12-12,47.468107,-121.716454,47.468107,-121.716454,2019,12
"Ma Liu Shui, Hong Kong",18 Chak Cheung Street,Ma Liu Shui,Hong Kong,,China,20,120.0,"22.411921, 114.211399",4,2019-09-02,22.411921,114.211399,22.411921,114.211399,2019,9
"White River, ON",17 ON-17,White River,ON,P0M 3G0,Canada,6,250.0,"48.592157, -85.272639",379,2019-12-20,48.592157,-85.272639,48.592157,-85.272639,2019,12
"Wawa, ON",95 Mission Rd,Wawa,ON,P0S 1K0,Canada,6,250.0,"47.983344, -84.780006",293,2019-12-20,47.983344,-84.780006,47.983344,-84.780006,2019,12
"Tremonton, UT",Hampton Inn 2145 W Main St,Tremonton,UT,84337,USA,10,150.0,"41.70995, -112.198576",1317,2015-04-01,41.70995,-112.198576,41.70995,-112.198576,2015,4
