Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Xingyang - Zhengshang Haubuska, China","Haubuska, Jingcheng Road Street, Guotai Road, Xingyang City, Zhengzhou City, Henan",Zhengzhou,Henan,,China,3,250.0,"34.78418889, 113.4251365",141,2022-09-22,34.78418889,113.4251365,34.78418889,113.4251365,2022,9
"Beijing - CFLD Innovation Center, China","B2, Huaxia Fortune Innovation Center, Yard 8, Automobile Museum West Road, Fengtai District, Beijing",Beijing,Beijing,,China,6,250.0,"39.829555, 116.30746",47,2022-09-22,39.829555,116.30746,39.829555,116.30746,2022,9
"Xi'an - The Westin Hotel, China","B1, Westin Hotel, No. 66 Ci'en Road, Yanta District, Xi'an City, Shaanxi",Xi'an,Shaanxi,,China,3,250.0,"34.221369, 108.968685",436,2022-10-10,34.221369,108.968685,34.221369,108.968685,2022,10
"Shaoxing - Jindi Yintai City, China","C1, Basement 1, No. 777, Jiefang South Road, Yuecheng District, Shaoxing City, Zhejiang",Shaoxing,Zhejiang,,China,6,250.0,"29.98548024, 120.5798865",6,2022-10-09,29.98548024,120.5798865,29.98548024,120.5798865,2022,10
"Xi'an - Xinxing Plaza, China","B3, Xinxing Plaza, No. 9 Huzhu Road, Beilin District, Xi'an City, Shaanxi",Xi'an,Shaanxi,,China,3,250.0,"34.266433, 108.999551",427,2022-10-10,34.266433,108.999551,34.266433,108.999551,2022,10
"Dothan, AL",1151 Ross Clark Cir,Dothan,AL,36301,USA,12,250.0,"31.212985, -85.361437",91,2022-12-07,31.212985,-85.361437,31.212985,-85.361437,2022,12
"Beijing - Xiushui Street (ground), China","Ground Parking Lot, No. 8 Xiushui East Street, Chaoyang District, Beijing",Beijing,Beijing,,China,3,250.0,"39.910221, 116.449655",40,2023-04-28,39.910221,116.449655,39.910221,116.449655,2023,4
"Kaohsiung - Fengshan, Taiwan","No. 207, Baonan 2nd Road, Fengshan District",Kaohsiung City,Kaohsiung,,Taiwan,3,250.0,"22.595949, 120.349871",8,2022-10-01,22.595949,120.349871,22.595949,120.349871,2022,10
"New Taipei - Xinzhuang, Taiwan","Xinzhuang Service Experience Center, 242 No. 37, Huacheng Road, Xinzhuang District",New Taipei City,New Taipei,,Taiwan,4,150.0,"25.044506, 121.464697",2,2022-10-01,25.044506,121.464697,25.044506,121.464697,2022,10
"Hangzhou - Qicaixing Commercial Center, China","B2, Qicaixing Commercial Center, Xingqiao South Road, Linping District, Hangzhou, Zhejiang",Hangzhou,Zhejiang,,China,3,250.0,"30.38770496, 120.2625097",7,2023-04-28,30.38770496,120.2625097,30.38770496,120.2625097,2023,4
"Beijing - Xianghe Antique City, China","Xianghe Jewelry & Antique City, Litang Road, Changping District, Beijing",Beijing,Beijing,,China,6,250.0,"40.063751, 116.419611",35,2022-09-22,40.063751,116.419611,40.063751,116.419611,2022,9
"Jining - Aegean, China","Aegean Shopping Park, No. 409, Chongwen Avenue, Rencheng District, Jining City, Shandong",Jining,Shandong,,China,6,250.0,"35.429256, 116.702477",36,2022-09-22,35.429256,116.702477,35.429256,116.702477,2022,9
"Jinan - Liancheng Plaza, China","B3 Floor, Liancheng Plaza, Jingshi Road, Huaiyin District, Jinan City, Shandong",Jinan,Shandong,,China,6,250.0,"36.655437, 116.987881",49,2022-09-22,36.655437,116.987881,36.655437,116.987881,2022,9
"Shangqiu - Haitian Holiday Hotel, China","Haitian Holiday Hotel, No. 99, Suiyang Avenue, Liangyuan District, Shangqiu City, Henan",Shangqiu,Henan,,China,3,250.0,"34.412816, 115.680899",48,2022-09-22,34.412816,115.680899,34.412816,115.680899,2022,9
"Chongqing - Beicheng Sunshine Line, China","B2, Beicheng Sunshine Shang Line, No. 18 Liyuan Road, Yubei District, Chongqing",Chongqing,Chongqing,,China,3,250.0,"29.60176773, 106.522834",320,2022-09-22,29.60176773,106.522834,29.60176773,106.522834,2022,9
"Handan - Meile City, China","B3, Meile City, No. 456, Renmin East Road, Congtai District, Handan City, Hebei",Handan,Hebei,,China,3,250.0,"36.613404, 114.529228",57,2022-09-22,36.613404,114.529228,36.613404,114.529228,2022,9
"Beijing - Tsinghua Science Park, China","B2, Tsinghua Science and Technology Park, No. 1 Zhongguancun East Road, Haidian District, Beijing",Beijing,Beijing,,China,6,250.0,"40.000302, 116.337001",51,2022-09-22,40.000302,116.337001,40.000302,116.337001,2022,9
"Jiaozhou - Liqun Shopping Center, China","No. 298, Macau Road, Jiaozhou City, Shandong",Jiaozhou,Shandong,,China,3,250.0,"36.261024, 120.042577",2,2022-09-22,36.261024,120.042577,36.261024,120.042577,2022,9
"Chongqing - Yongchuan Xiexin, China","B1, Xiexin Center, No. 123, Xinglong Avenue, Yongchuan District, Chongqing",Chongqing,Chongqing,,China,3,250.0,"29.36332869, 105.9413733",319,2022-09-22,29.36332869,105.9413733,29.36332869,105.9413733,2022,9
"Hangzhou - Gaode Landmark Plaza, China","B2, No. 45 Jiefang East Road, Shangcheng District, Hangzhou City, Zhejiang",Hangzhou,Zhejiang,,China,6,250.0,"30.24347242, 120.2084894",9,2022-09-22,30.24347242,120.2084894,30.24347242,120.2084894,2022,9
"Fredonia, NY",10390 Bennett Road,Fredonia,NY,14063,USA,12,250.0,"42.454125, -79.30869",229,2022-10-03,42.454125,-79.30869,42.454125,-79.30869,2022,10
"Washington, IN",1 Gateway Dr,Washington,IN,47501,USA,8,250.0,"38.65239, -87.133018",150,2022-11-24,38.65239,-87.133018,38.65239,-87.133018,2022,11
"Beijing - Taipingzhuang, China","Beijing Qingyin Parking Lot, Dianshang Village Committee, Dongxiaokou, Changping District, Beijing",Beijing,Beijing,,China,6,250.0,"40.073176, 116.386072",39,2022-09-22,40.073176,116.386072,40.073176,116.386072,2022,9
